product_group,goc,pol_num,pre_ann,sum_assd,loan_sa
CESSP__USD,CESSP__AZID_AG_L_USD_PI_2014_IF,2,3677.16,23000,0.02
CESU___IDR,CESU___AZID_AG_L_IDR_PI_2014_IF,198,800711566,4108700000,661869
CESU___USD,CESU___AZID_AG_L_USD_PI_2014_IF,6,14295.99,46500,0
CESUP__IDR,CESUP__AZID_AG_L_IDR_PI_2014_IF,49,95573888,625000000,-12
CESUP__USD,CESUP__AZID_AG_L_USD_PI_2014_IF,1,1560,10000,-0.03
CEZPST_IDR,CEZPST_ASN3_AG_L_IDR_NO_2024_IF,4,22526592,849240000,0
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2020_IF,31,1062130200,13685000000,0
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2021_IF,28,511409339,8300000000,5542408
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2022_IF,104,2990561890,49842000000,3411853
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2023_IF,142,4016608914,54569500000,16261807
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2024_IF,146,3456645068,45331950000,0
CEZPST_IDR,CEZPST_AZID_AG_L_IDR_NO_2025_Q1,25,531703920,9355000000,0
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2020_IF,115,2623751360,47495168000,23943085
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2021_IF,157,3819239744,68670300000,11614000
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2022_IF,169,4822416440,81410900000,3579636
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2023_IF,180,5275452164,95731999999,8508609
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2024_IF,169,3588000925,59465788300,0
CEZPST_IDR,CEZPST_EAGLE_AG_L_IDR_NO_2025_Q1,33,834668360,14853500000,0
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2020_IF,191,4527673540,79688000000,26024071
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2021_IF,156,4074346916,74234100000,5448942
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2022_IF,317,10624877605,1.73583E+11,0
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2023_IF,454,13767824384,2.29404E+11,17244690
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2024_IF,619,10400165446,2.12751E+11,0
CEZPST_IDR,CEZPST_SPRING_AG_L_IDR_NO_2025_Q1,141,3185996359,56434028915,0
CHCPT__IDR,CHCPT__TELEMAYBANK_NK_L_IDR_NO_2023_IF,2,9192000,600000,0
CHCPT__IDR,CHCPT__TELEMAYBANK_NK_L_IDR_NO_2024_IF,1,7164000,1000000,0
CJLIFE_IDR,CJLIFE_HSBC_KT_L_IDR_NO_2019_IF,1,6000000,587500000,0
CJLIFE_IDR,CJLIFE_HSBC_KT_L_IDR_NO_2020_IF,2,12000000,845500000,0
CJLIFE_IDR,CJLIFE_HSBC_KT_L_IDR_NO_2022_IF,1,12000000,635000000,0
CSAMAN_IDR,CSAMAN_AZID_AG_L_IDR_SN_2023_IF,101,2231782260,33307000000,0
CSAMAN_IDR,CSAMAN_AZID_AG_L_IDR_SN_2024_IF,103,2585062385,31257500000,0
CSAMAN_IDR,CSAMAN_AZID_AG_L_IDR_SN_2025_Q1,18,650038112,7533000000,0
