product_group;goc;pol_num;pre_ann;sum_assd;loan_sa;;
CEPNTR_USD;CEPNTR_QNB_NK_L_USD_NI_2024_IF;1;60000;78600;0;;
CEPNTR_USD;CEPNTR_QNB_NK_L_USD_NI_2025_Q1;8;261000;341910;0;;
CEPNTR_USD;CEPNTR_QNB_NK_L_USD_NI_2025_Q2;4;130000;170300;0;;
CEPNTR_IDR;CEPNTR_VICTORIA_NK_L_IDR_NI_2023_IF;2;250000000;360000000;0;;
CEPNTR_IDR;CEPNTR_VICTORIA_NK_L_IDR_NI_2024_IF;9;1100000000;1661000000;0;;
CEPNTR_IDR;CEPNTR_VICTORIA_NK_L_IDR_NI_2025_Q1;3;300000000;477000000;0;;
CEPNTR_IDR;CEPNTR_VICTORIA_NK_L_IDR_NI_2025_Q2;2;200000000;318000000;0;;
CEPNTR_USD;CEPNTR_VICTORIA_NK_L_USD_NI_2024_IF;2;30000;39300;0;;
CEPNTR_USD;CEPNTR_VICTORIA_NK_L_USD_NI_2025_Q1;1;10000;13100;0;;
CESC___IDR;CESC___AZID_AG_L_IDR_PI_2014_IF;83;287121200;1702000000;35185;;
CESC___USD;CESC___AZID_AG_L_USD_PI_2014_IF;3;3000;15500;0;;
CESCP__IDR;CESCP__AZID_AG_L_IDR_PI_2014_IF;31;57426480;456000000;4123;;
CESD___IDR;CESD___AZID_AG_L_IDR_PI_2014_IF;1;505750;25000000;5426551;;
CESD___USD;CESD___AZID_AG_L_USD_PI_2014_IF;1;4938;120000;0;;
CESE___IDR;CESE___AZID_AG_L_IDR_PI_2014_IF;262;625094290;5610500000;23858273;;
CESE___USD;CESE___AZID_AG_L_USD_PI_2014_IF;3;2795.5;20000;0;;
CESEP__IDR;CESEP__AZID_AG_L_IDR_PI_2014_IF;26;41049880;373000000;-10;;
CESF___IDR;CESF___AZID_AG_L_IDR_PI_2014_IF;426;1727337019;12599700000;184616;;
CESF___USD;CESF___AZID_AG_L_USD_PI_2014_IF;10;26048.75;124600;0.01;;
CESFP__IDR;CESFP__AZID_AG_L_IDR_PI_2014_IF;54;95096264;663000000;-8;;
CESFP__USD;CESFP__AZID_AG_L_USD_PI_2014_IF;4;16534.44;118000;0;;
