product_group,goc,pol_num,pre_ann,sum_assur,total_fund
ULASMN_IDR,ULASMN_AZID_AG_IDR_SH_2022_IF,40,1211105340,10985000000,476056660
ULASMN_IDR,ULASMN_EAGLE_AG_IDR_SH_2021_IF,37,906985700,13625000000,512304996
ULASMN_IDR,ULASMN_EAGLE_AG_IDR_SH_2022_IF,52,1628250320,21352953900,665766419
ULASMN_IDR,ULASMN_SPRING_AG_IDR_SH_2021_IF,16,507070100,10025000000,217962599
ULASMN_IDR,ULASMN_SPRING_AG_IDR_SH_2022_IF,62,1450758516,33336135000,410547758
ULASPO_IDR,ULASPO_AZID_AG_IDR_SH_2018_IF,156,2019220000,58561500000,1884876463.173098
ULASPO_IDR,ULASPO_AZID_AG_IDR_SH_2019_IF,53,734880000,20588000000,805726667.992236
ULASPO_IDR,ULASPO_EAGLE_AG_IDR_SH_2018_IF,471,6687577000,169488600000,6887261805.999889
ULASPO_IDR,ULASPO_EAGLE_AG_IDR_SH_2019_IF,124,1334196000,36191000000,1455831732.087033
ULASPO_IDR,ULASPO_SPRING_AG_IDR_SH_2018_IF,265,4196044000,143353800000,5007994195.523044
ULASPO_IDR,ULASPO_SPRING_AG_IDR_SH_2019_IF,97,1111425400,37038000000,1114864539.669004
ULASPP_IDR,ULASPP_AZID_AG_IDR_SH_2019_IF,1113,19385230108.44140344,366906855000,15856370335.024289
ULASPP_IDR,ULASPP_AZID_AG_IDR_SH_2020_IF,788,11994233438.73241028,208522200000,10847979300.624954
ULASPP_IDR,ULASPP_EAGLE_AG_IDR_SH_2019_IF,4429,79305358917.22143664,1440975658690,62481115157.019319
ULASPP_IDR,ULASPP_EAGLE_AG_IDR_SH_2020_IF,3261,55096638653.928295728,896015442000,36422072469.907399
ULASPP_IDR,ULASPP_SPRING_AG_IDR_SH_2019_IF,1762,32084227933.9288136,678277040369,26090194521.32159
ULASPP_IDR,ULASPP_SPRING_AG_IDR_SH_2020_IF,1053,17047291805.90116496,327619431187,10826610989.558269
ULASPPA_IDR,ULASPPA_AZID_AG_IDR_SH_2020_IF,622,9905118688.54600628,162986625000,5326761933.612301
ULASPPA_IDR,ULASPPA_AZID_AG_IDR_SH_2021_IF,1506,21410442520.26043912,385245534500,9900211088.135031
ULASPPA_IDR,ULASPPA_AZID_AG_IDR_SH_2022_IF,1689,22981902860,388942100000,5722586864.290175
ULASPPA_IDR,ULASPPA_AZID_AG_IDR_SH_2023_IF,494,6925916972,93891000000,948982972.16157
ULASPPA_IDR,ULASPPA_EAGLE_AG_IDR_SH_2020_IF,2810,46265227366.261296304,771083618121,27368380903.87495
ULASPPA_IDR,ULASPPA_EAGLE_AG_IDR_SH_2021_IF,9435,153344479436.721876836,2399862530845,53072624287.768908
ULASPPA_IDR,ULASPPA_EAGLE_AG_IDR_SH_2022_IF,13437,231136828846,3248669041888.999999993,39835098611.622719
ULASPPA_IDR,ULASPPA_EAGLE_AG_IDR_SH_2023_IF,7685,137585774376,1689730749008,15608252475.511372
ULASPPA_IDR,ULASPPA_SPRING_AG_IDR_SH_2020_IF,844,13493115363.17735732,288849849100,7627264333.735666
ULASPPA_IDR,ULASPPA_SPRING_AG_IDR_SH_2021_IF,2394,35845791843.66192212,635538295000,14024037042.2998
ULASPPA_IDR,ULASPPA_SPRING_AG_IDR_SH_2022_IF,2808,49027567762.06894856,810683652722.99999997,12074806514.483132
ULASPPA_IDR,ULASPPA_SPRING_AG_IDR_SH_2023_IF,1165,21062472000,282750600000,3377754165.791266
ULASS__IDR,ULASS__PERMATA_NK_IDR_SH_2014_IF,85,463800000,13997000000,1926216797.138243
ULAWPL_IDR,ULAWPL_HANA_NK_IDR_UL_2021_IF,1,125000000,5000000000,229627578
ULAWPL_IDR,ULAWPL_HANA_NK_IDR_UL_2022_IF,2,250000000,10000000000,508741617
ULAWPL_USD,ULAWPL_HANA_NK_USD_UL_2021_IF,2,45000,760000,123649
ULAWPL_IDR,ULAWPL_NISP_NK_IDR_UL_2021_IF,3,575000004,24000000000,795517280.137531
ULAWPL_IDR,ULAWPL_NISP_NK_IDR_UL_2022_IF,13,2450000000,85500000000,4383198881
ULAWPL_IDR,ULAWPL_NISP_NK_IDR_UL_2023_IF,9,1275000000,47000000000,2291638552
ULAWPL_USD,ULAWPL_NISP_NK_USD_UL_2021_IF,1,20000,380000,63251
ULAWPL_USD,ULAWPL_NISP_NK_USD_UL_2022_IF,32,615996,13486000,1538087.55596214
ULAWPL_USD,ULAWPL_NISP_NK_USD_UL_2023_IF,14,224004,5480000,613655.44633603
ULAWPL_IDR,ULAWPL_QNB_NK_IDR_UL_2022_IF,25,4166000000,160000000000,10764176195.873215
ULAWPL_IDR,ULAWPL_QNB_NK_IDR_UL_2023_IF,1,200000000,7000000000,659986948.73144
ULAWPL_USD,ULAWPL_QNB_NK_USD_UL_2022_IF,7,109000,2780000,303609.31796105
ULAWPL_USD,ULAWPL_QNB_NK_USD_UL_2023_IF,1,15000,750000,60349.81493416
ULAWPR_IDR,ULAWPR_BCI_NK_IDR_UL_2021_IF,1,25000000,125000000,286380299.557851
ULAWPR_IDR,ULAWPR_BCI_NK_IDR_UL_2022_IF,26,1177000004,17415000000,2625216009.897605
ULAWPR_IDR,ULAWPR_BCI_NK_IDR_UL_2023_IF,3,112500000,2300000000,169585757.895204
ULAWPR_USD,ULAWPR_BCI_NK_USD_UL_2021_IF,1,2500,12500,2370
ULAWPR_USD,ULAWPR_BCI_NK_USD_UL_2022_IF,1,2500,12500,13988.62679056
ULAWPR_IDR,ULAWPR_VICTORIA_NK_IDR_UL_2022_IF,11,685000000,9475000000,1270186744.115384
ULAWPR_IDR,ULAWPR_VICTORIA_NK_IDR_UL_2023_IF,1,25000000,1000000000,27854042
ULBPMC_IDR,ULBPMC_BJB_NK_IDR_UL_2021_IF,7,400000000,600000000,1805896120.927356
ULBPMC_IDR,ULBPMC_BJB_NK_IDR_UL_2022_IF,4,200000000,300000000,5974338844.369988
ULBPMC_IDR,ULBPMC_BJB_NK_IDR_UL_2023_IF,1,50000000,75000000,50971369
ULBPMC_USD,ULBPMC_BJB_NK_USD_UL_2021_IF,40,200000,300000,1472689.98025712
ULBPMC_USD,ULBPMC_BJB_NK_USD_UL_2022_IF,6,30000,45000,303288.65922816
ULBPMC_USD,ULBPMC_BJB_NK_USD_UL_2023_IF,1,5000,7500,5128
ULBPOC_IDR,ULBPOC_BJB_NK_IDR_UL_2021_IF,7,66000000,6146000000,151130645.827824
ULBPOC_IDR,ULBPOC_BJB_NK_IDR_UL_2022_IF,47,517000000,29569000000,923662749.006373
ULBPOC_IDR,ULBPOC_BJB_NK_IDR_UL_2023_IF,8,58000000,3558000000,30660932.95923
ULCIP__IDR,ULCIP__HSBC_KT_IDR_UL_2016_IF,251,21503999980,377392000000,62814789941.738397
